Database Test Runtime  Test Runtime Runtime
census 53,90 13,71  52,61 1414,20 96
covtype1 78,48 273,62  75,52 1986,00 76
covtype2 76,66 276,05  73,65 1994,84 75
covtype3 96,61 273,18  96,20 1985,41 74
covtype7 98,38 273,75  98,03 1987,32 75
fars_Fatal_Injury 97,00 16,19  92,38 484,09 81
fars_Incapaciting_Injury 85,35 15,86  81,11 482,73 80
fars_No_Injury 93,75 14,95  89,25 483,00 82
fars_Nonincapaciting_Evident_Injury 83,61 16,40  79,62 483,78 81
KDDCup99_dos 99,94 698,13  99,93 4282,89 78
KDDCup99_normal 99,92 647,52  99,91 4257,21 76
KDDCup99_probe 99,98 667,24  99,97 4208,90 77
KDDCup99_r2l 99,98 657,17  99,97 4220,76 75
poker0 63,74 36,28  63,53 6853,13 107
poker1 59,46 33,08  59,18 6692,17 110
poker2 95,24 31,01  95,24 6706,81 109
poker3 97,89 34,06  97,89 6707,06 106
skin 91,15 1,69  90,63 2,12 53
susy 63,92 1285,11  62,48 15409,65 103
 86,05 277,10  84,58 3718,00 84,95
      
      
higgs      2232000
