&QuickChi&WM_Algorithm&&QuickChi&WM_Algorithm&&QuickChi&WM_Algorithm&
Database&#Test&#Test&&#Rules&#Rules&&TrainTime&TrainTime&Faster
abalone&11,48&0,02&1&26,6&1,2&&0,038691&0,09245&2,39
adult&67,54&67,97&2&14577,8&14577,8&&0,621978&115,650221&185,94
australian&69,86&71,45&2&350&350&&0,008228&0,053709&6,53
banana&60,11&60,21&2&7,9&7,9&&0,020787&0,03453&1,66
bands&65,75&64,93&1&292,4&292,4&&0,009184&0,058442&6,36
bupa&58,55&57,97&1&45,7&45,7&&0,003249&0,011463&3,53
census&49,85&49,90&2&73598,8&73598,8&&6,345911&1820,984298&286,95
cleveland&37,04&38,05&2&239,5&235,1&&0,003929&0,021744&5,53
coil2000&24,32&24,32&X&7391,3&7392&&0,9595&12,142169&12,65
covtype_2_vs_1&78,20&74,58&1&7474&7474&&22,802772&1593,602485&69,89
crx&53,29&53,75&2&435,2&435,2&&0,007456&0,059354&7,96
fars_0_vs_4_&49,88&49,88&X&38233,6&38233,6&&2,107849&358,384691&170,02
heart&41,85&41,48&1&227,5&227,5&&0,004078&0,016765&4,11
iris&94,67&92,67&1&14,7&14,7&&0,000737&0,001083&1,47
letter&50,22&34,07&1&1320,9&381,8&&0,304632&11,143852&36,58
magic&80,64&76,75&1&354,1&354,1&&0,182082&2,224813&12,22
newthyroid&89,77&84,65&1&20,5&20,5&&0,001017&0,001867&1,84
mammographic&79,28&78,92&1&120,4&120,4&&0,005345&0,018071&3,38
page-blocks&92,54&91,89&1&53,3&51,6&&0,055508&0,154406&2,78
penbased&97,35&97,67&2&3333,8&3303,5&&0,153424&7,068353&46,07
phoneme&72,35&71,82&1&58,4&58,4&&0,034246&0,08816&2,57
pima&71,88&72,79&2&110,7&110,7&&0,010259&0,033721&3,29
ring&88,24&55,19&1&1080&1080&&0,121407&3,822583&31,49
saheart&69,48&72,29&2&190,9&190,9&&0,003201&0,034588&10,81
satimage&74,37&47,47&1&1458,6&1228,7&&0,234403&12,964517&55,31
segment&86,62&86,06&1&318,3&282,8&&0,037196&0,281023&7,56
shuttle&82,47&80,16&1&28,8&26,7&&0,597692&0,984147&1,65
spambase&72,92&71,50&1&372,1&372,1&&0,256961&1,638114&6,37
texture&77,38&70,80&1&1187,7&907,2&&0,223541&6,355889&28,43
thyroid&92,35&92,03&1&463&461,9&&0,130387&0,785351&6,02
twonorm&88,84&90,54&2&1539,6&1539,6&&0,160099&5,414788&33,82
vehicle&58,63&59,69&2&405,6&262,6&&0,014785&0,177454&12,00
vowel&64,24&49,60&1&279,6&153,8&&0,015012&0,066303&4,42
winequality-red&52,03&51,84&1&219,7&129,2&&0,019048&0,156741&8,23
winequality-white&41,26&48,43&2&260,9&76,6&&0,064612&0,678111&10,50
Average&67,01&63,75&&4459,77&4399,97&&1,02&113,01&31,15
