abalone 5 7 Global 4174 364,7 26,493 73,5068 8,62482 8,63516 91,3648 0,119789 0,241259 0,0217579 0,0188498 0 0 0
banana 5 2 Global 5300 18,1 61,151 38,849 41,3396 41,3474 58,6526 0,0188679 0,0374541 0,0041373 0,001224 0 0 0
bupa 5 6 Global 345 123,5 64,9715 35,0285 53,6232 55,0595 44,9405 2,6087 0,0039689 0,0010282 0,0007899 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0108721 0,0033704 0,0027093 0 0 0
heart 5 5 Global 270 235,8 99,2264 0,773646 11,4815 45,5882 54,4118 74,8148 0,0037573 0,0014837 0,0011319 0 0 0
iris 5 4 Global 150 40,7 90,7003 9,29967 42 42,2819 57,7181 0,666667 0,0012363 0,0001983 9,46e-05 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0043883 0,0007287 0,0004334 0 0 0
mammographic 5 1 Global 830 159 86,9836 13,0164 48,1928 52,0156 47,9844 7,3494 0,0074499 0,0022733 0,0017744 0 0 0
newthyroid 5 5 Global 215 45,9 88,9669 11,0331 12,093 12,2066 87,7934 0,930233 0,0020244 0,0003121 0,0001706 0 0 0
page-blocks 5 10 Global 5472 160,5 92,9454 7,05461 26,3158 26,364 73,636 0,182749 0,0637901 0,0196789 0,0164892 0 0 0
phoneme 5 5 Global 5404 224,7 76,845 23,155 56,2361 56,2361 43,7639 0 0,0505065 0,0217423 0,0184253 0 0 0
pima 5 8 Global 768 423,7 80,1143 19,8857 46,224 47,7151 52,2849 3,125 0,0102481 0,0059332 0,0052742 0 0 0
saheart 5 8 Global 462 354,3 84,7085 15,2915 48,4848 51,4943 48,5057 5,84416 0,0070154 0,0037647 0,0030415 0 0 0
shuttle 5 9 Global 57999 75,5 86,1673 13,8327 28,8126 28,8155 71,1845 0,010345 0,616443 0,142465 0,108951 0 0 0
adult 5 6 Global 45222 20301,3 88,5459 11,4541 64,4863 81,8399 18,1601 21,2043 0,725276 0,11356 0,0817715 0 0 0
australian 5 7 Global 690 504,1 94,7313 5,26866 55,5072 82,0128 17,9872 32,3188 0,0106842 0,0014801 0,0009494 0 0 0
crx 5 6 Global 653 523,5 97,1613 2,83868 40,1225 87,0432 12,9568 53,9051 0,0122867 0,0016712 0,0010226 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,0045624 0,000517 0,0001542 0 0 0
census 5 9 Global 142521 81190,1 98,7145 1,28554 48,1754 96,5085 3,49151 50,0817 6,00879 0,867099 0,794277 0 0 0
coil2000 5 2 Global 9822 7469,6 98,4044 1,23171 24,5978 91,7585 8,24155 73,1928 0,816148 0,100019 0,0931189 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,75475 0,23928 0,195122 0 0 0
covtype_2_vs_1 5 10 Global 495141 24900 79,0169 20,9831 85,5593 85,5629 14,4371 0,00424122 26,2653 2,96246 2,86154 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,8345 0,265796 0,220865 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0170119 0,0022982 0,0017062 0 0 0
magic 5 10 Global 19020 1906,7 79,8261 20,1739 82,0137 82,0741 17,9259 0,0736067 0,334967 0,0413457 0,0295035 0 0 0
thyroid 5 6 Global 7200 932,3 90,2658 9,73424 92,2778 93,5116 6,48839 1,31944 0,12733 0,0142076 0,0099843 0 0 0
vehicle 5 18 Global 846 718,2 93,7667 6,23328 53,3097 65,9357 34,0643 19,1489 0,145893 0,0542594 0,0533923 0 0 0
vowel 5 11 Global 990 646 91,2067 8,79329 93,1313 93,6041 6,39594 0,505051 0,0364006 0,0101031 0,0032501 0 0 0
segment 5 19 Global 2310 910,5 92,6069 7,39307 90,5628 93,4763 6,52368 3,11688 0,193178 0,0271512 0,025214 0 0 0
winequality-red 5 11 Global 1599 867,1 66,0766 33,9234 60,2251 61,1041 38,8959 1,4384 0,0662627 0,0068311 0,0059213 0 0 0
winequality-white 5 11 Global 4898 1586,8 54,1824 45,8176 53,7975 53,8965 46,1035 0,183748 0,294734 0,0262331 0,0230806 0 0 0
spambase 5 57 Global 4597 1540 87,5657 12,4343 82,4668 86,6514 13,3486 4,82924 0,484899 0,0623601 0,0584614 0 0 0
penbased 5 16 Global 10992 7718,6 99,3019 0,698053 94,3413 99,2629 0,737054 4,95815 0,660998 0,0877138 0,0650069 0 0 0
ring 5 20 Global 7400 5008,6 95,9887 4,01126 54,0946 79,3302 20,6698 31,8108 1,75301 0,176208 0,171314 0 0 0
twonorm 5 20 Global 7400 6655,2 99,5622 0,437818 34,4459 91,6247 8,37527 62,4054 2,53715 0,257683 0,252251 0 0 0
satimage 5 36 Global 6435 2417,5 76,4495 23,5505 65,1282 65,5356 34,4644 0,621601 3,01835 0,204924 0,200627 0 0 0
texture 5 40 Global 5500 3810,5 96,2349 3,7651 88,8 94,6512 5,34884 6,18182 4,40436 0,202699 0,198941 0 0 0
letter 5 16 Global 20000 9116,8 71,6434 28,3566 83,81 84,0032 15,9968 0,23 2,14389 0,226946 0,175726 0 0 0
