abalone 5 7 Global 4174 126 25,6003 74,3984 9,82271 9,91296 90,087 0,910398 0,0831553 0,0085872 0,00618 0 0 0
banana 5 2 Global 5300 19,2 69,7365 30,2635 59,2642 59,2753 40,7247 0,0188679 0,0358984 0,0046729 0,0015425 0 0 0
bupa 5 6 Global 345 113,2 74,686 25,314 50,7246 52,7108 47,2892 3,76812 0,0036085 0,0009842 0,0007627 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0105078 0,0033157 0,0026754 0 0 0
heart 5 5 Global 270 235,7 99,4513 0,548697 12,963 51,4706 48,5294 74,8148 0,0032523 0,0012873 0,0010996 0 0 0
iris 5 4 Global 150 39,9 93,6543 6,34568 42,6667 42,6667 57,3333 0 0,0012801 0,0002066 0,0001063 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0042489 0,0007025 0,0004106 0 0 0
mammographic 5 1 Global 830 159 86,9836 13,0164 48,1928 52,0156 47,9844 7,3494 0,0067125 0,0021913 0,0016799 0 0 0
newthyroid 5 5 Global 215 46,8 94,1258 5,87425 29,7674 30,0469 69,9531 0,930233 0,0018638 0,0002972 0,0001649 0 0 0
page-blocks 5 10 Global 5472 157,6 94,0248 5,9752 42,8545 42,9409 57,0591 0,201023 0,060167 0,0189758 0,0157668 0 0 0
phoneme 5 5 Global 5404 210,9 81,5384 18,4616 54,3301 54,3301 45,6699 0 0,0491853 0,0219416 0,0186575 0 0 0
pima 5 8 Global 768 407,6 88,3247 11,6753 50,651 52,2849 47,7151 3,125 0,009075 0,0055526 0,0050704 0 0 0
saheart 5 8 Global 462 348,8 94,6048 5,39522 53,4632 56,9124 43,0876 6,06061 0,0054756 0,0032279 0,002917 0 0 0
shuttle 5 9 Global 57999 71 82,8646 17,1354 41,7835 41,7885 58,2115 0,0120692 0,590525 0,133179 0,0993959 0 0 0
adult 5 6 Global 45222 19780,3 90,0436 9,9564 63,9003 81,1896 18,8104 21,2949 0,547056 0,0978558 0,0677377 0 0 0
australian 5 7 Global 690 495,9 96,7042 3,29576 54,4928 81,5618 18,4382 33,1884 0,0099144 0,0016777 0,0011553 0 0 0
crx 5 6 Global 653 518,2 98,3722 1,62781 38,8974 85,2349 14,7651 54,3645 0,0088379 0,0013712 0,0008997 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,0048563 0,0005035 0,0001445 0 0 0
census 5 9 Global 142521 80874,6 99,1748 0,825168 48,1248 96,3897 3,61033 50,0726 4,97007 0,80233 0,72909 0 0 0
coil2000 5 2 Global 9822 7468,9 98,4933 1,03249 24,5978 91,7585 8,24155 73,1928 0,85116 0,106462 0,0989855 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,83318 0,251667 0,206777 0 0 0
covtype_2_vs_1 5 10 Global 495141 21598,2 83,7471 16,2529 84,8597 84,8634 15,1366 0,00444318 23,2775 2,70294 2,60058 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,70229 0,24965 0,206482 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0162398 0,001962 0,0013917 0 0 0
magic 5 10 Global 19020 1828,1 82,8596 17,1404 81,5668 81,6269 18,3731 0,0736067 0,290776 0,041718 0,0299371 0 0 0
thyroid 5 6 Global 7200 919,2 94,1399 5,86008 92,0833 93,3277 6,6723 1,33333 0,118225 0,0139686 0,0097191 0 0 0
vehicle 5 18 Global 846 708,4 98,3408 1,65922 52,1277 63,4532 36,5468 17,8487 0,0941111 0,0171105 0,0166254 0 0 0
vowel 5 11 Global 990 642 99,0161 0,983913 92,1212 92,5888 7,41117 0,505051 0,0192611 0,0028809 0,0022184 0 0 0
segment 5 19 Global 2310 873,5 95,4962 4,50377 90,1299 92,9464 7,05357 3,0303 0,125185 0,0173479 0,015864 0 0 0
winequality-red 5 11 Global 1599 690,4 79,2254 20,7746 53,9712 54,7589 45,2411 1,4384 0,0381495 0,0053723 0,0043795 0 0 0
winequality-white 5 11 Global 4898 912,3 61,8839 38,1161 48,4892 48,5884 51,4116 0,204165 0,137609 0,0162763 0,0131901 0 0 0
spambase 5 57 Global 4597 1368,1 88,1161 11,8839 80,8788 85,0801 14,9199 4,938 0,341243 0,0477469 0,0447058 0 0 0
penbased 5 16 Global 10992 7732,4 99,8608 0,139158 93,9865 98,9275 1,07249 4,99454 0,292592 0,0720788 0,0646215 0 0 0
ring 5 20 Global 7400 5048,6 99,3493 0,650651 54,4595 79,0196 20,9804 31,0811 0,814651 0,16774 0,162859 0 0 0
twonorm 5 20 Global 7400 6652,9 99,964 0,036036 34,3919 91,3168 8,68317 62,3378 1,10712 0,249683 0,244602 0 0 0
satimage 5 36 Global 6435 1979,7 77,5602 22,4398 64,5998 64,9836 35,0164 0,590521 1,88415 0,199555 0,194765 0 0 0
texture 5 40 Global 5500 3661,8 97,93 2,07003 87,6364 93,5196 6,4804 6,29091 1,76593 0,196003 0,192475 0 0 0
letter 5 16 Global 20000 7173 85,318 14,682 75,995 76,1778 23,8222 0,24 1,09397 0,14881 0,136256 0 0 0
