abalone 5 7 Global 4174 145,2 26,9329 73,0671 9,3196 9,34198 90,658 0,239578 0,0916468 0,0102384 0,0078055 0 0 0
banana 5 2 Global 5300 18,9 63,2144 36,7856 51,0566 51,0662 48,9338 0,0188679 0,0350506 0,0041681 0,0012724 0 0 0
bupa 5 6 Global 345 124,3 71,7713 28,2287 52,1739 53,7313 46,2687 2,89855 0,0036614 0,0010148 0,0007971 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0104997 0,0032285 0,0025956 0 0 0
heart 5 5 Global 270 235,8 99,4959 0,504115 12,2222 49,2537 50,7463 75,1852 0,0033683 0,0012726 0,001062 0 0 0
iris 5 4 Global 150 41,7 92,5926 7,40741 28 28 72 0 0,0012899 0,0002052 0,0001076 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0042133 0,0006922 0,0004156 0 0 0
mammographic 5 1 Global 830 159 86,9836 13,0164 48,1928 52,0156 47,9844 7,3494 0,006225 0,0020529 0,001596 0 0 0
newthyroid 5 5 Global 215 46,8 94,3152 5,68475 34,4186 34,7418 65,2582 0,930233 0,0019128 0,0003 0,0001612 0 0 0
page-blocks 5 10 Global 5472 160,3 93,886 6,11395 45,9613 46,0538 53,9462 0,201023 0,0605333 0,0203295 0,0169583 0 0 0
phoneme 5 5 Global 5404 211 80,992 19,008 57,7905 57,7905 42,2095 0 0,0508024 0,0209971 0,0177405 0 0 0
pima 5 8 Global 768 420,8 86,896 13,104 49,8698 51,4785 48,5215 3,125 0,0086817 0,0058811 0,0053962 0 0 0
saheart 5 8 Global 462 351,1 94,1679 5,83213 56,4935 60,1382 39,8618 6,06061 0,0055791 0,0034017 0,0030767 0 0 0
shuttle 5 9 Global 57999 72,8 83,8645 16,1355 44,9559 44,9614 55,0386 0,0120692 0,571236 0,132883 0,0991244 0 0 0
adult 5 6 Global 45222 19945,6 90,0227 9,97732 63,9224 81,1789 18,8211 21,2574 0,589878 0,103634 0,0704175 0 0 0
australian 5 7 Global 690 499,4 96,7327 3,26726 54,4928 81,7391 18,2609 33,3333 0,0087477 0,0013235 0,0008785 0 0 0
crx 5 6 Global 653 521,3 98,4206 1,5794 39,51 86,2876 13,7124 54,2113 0,0081147 0,0012509 0,000809 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,0045964 0,0005459 0,0001715 0 0 0
census 5 9 Global 142521 80991,7 99,197 0,802957 48,1347 96,4093 3,59065 50,0726 4,95351 0,82517 0,749557 0 0 0
coil2000 5 2 Global 9822 7469,5 98,4664 1,12167 24,5978 91,7585 8,24155 73,1928 0,868411 0,106727 0,0992205 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,77988 0,248777 0,202972 0 0 0
covtype_2_vs_1 5 10 Global 495141 22504,2 83,952 16,048 85,3426 85,3464 14,6536 0,00444318 23,1053 2,68984 2,58495 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,76652 0,245656 0,203999 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0165241 0,0021907 0,0015779 0 0 0
magic 5 10 Global 19020 1858,1 82,076 17,924 81,6614 81,7216 18,2784 0,0736067 0,296833 0,0372889 0,0262129 0 0 0
thyroid 5 6 Global 7200 926,5 93,9904 6,00965 92,2083 93,4544 6,54561 1,33333 0,128144 0,0141461 0,009821 0 0 0
vehicle 5 18 Global 846 709,9 98,1777 1,8223 52,1277 63,5447 36,4553 17,9669 0,101621 0,0181517 0,0175714 0 0 0
vowel 5 11 Global 990 640,1 98,4428 1,55724 92,0202 92,4873 7,51269 0,505051 0,022431 0,0034005 0,0025699 0 0 0
segment 5 19 Global 2310 877,2 94,8172 5,18278 90,0433 92,8571 7,14286 3,0303 0,124633 0,0174975 0,0160598 0 0 0
winequality-red 5 11 Global 1599 701,8 78,6568 21,3432 54,4715 55,2665 44,7335 1,4384 0,0431786 0,0058885 0,0048431 0 0 0
winequality-white 5 11 Global 4898 980,4 60,7487 39,2513 47,305 47,4115 52,5885 0,224581 0,136907 0,0150977 0,0121447 0 0 0
spambase 5 57 Global 4597 1370,3 88,0217 11,9783 80,7701 85,024 14,976 5,00326 0,342912 0,0476328 0,0445849 0 0 0
penbased 5 16 Global 10992 7731,8 99,8605 0,139495 93,9956 98,9371 1,06291 4,99454 0,294488 0,0707807 0,0635314 0 0 0
ring 5 20 Global 7400 5050,1 99,1299 0,87012 54,5541 79,219 20,781 31,1351 0,813347 0,161313 0,156465 0 0 0
twonorm 5 20 Global 7400 6653,6 99,9576 0,0424174 34,4189 91,3558 8,64419 62,3243 1,0974 0,251626 0,24636 0 0 0
satimage 5 36 Global 6435 1992,7 77,1467 22,8533 64,4134 64,796 35,204 0,590521 1,84331 0,191564 0,187248 0 0 0
texture 5 40 Global 5500 3662 97,8333 2,16667 87,5455 93,4226 6,57742 6,29091 1,75496 0,194201 0,19062 0 0 0
letter 5 16 Global 20000 7370,7 84,1456 15,8544 75,215 75,3884 24,6116 0,23 1,20288 0,160336 0,146231 0 0 0
