Database Test Runtime  Test Runtime  Test Runtime Runtime
census 53,90 13,71  53,92 11,25  52,61 1414,20 96,00
covtype1 78,48 273,62  78,60 52,30  75,52 1986,00 76,00
covtype2 76,66 276,05  77,20 51,44  73,65 1994,84 75,00
covtype3 96,61 273,18  96,55 51,90  96,20 1985,41 74,00
covtype7 98,38 273,75  98,25 53,95  98,03 1987,32 75,00
fars_Fatal_Injury 97,00 16,19  96,56 8,33  92,38 484,09 81,00
fars_Incapaciting_Injury 85,35 15,86  85,01 8,42  81,11 482,73 80,00
fars_No_Injury 93,75 14,95  93,35 8,54  89,25 483,00 82,00
fars_Nonincapaciting_Evident_Injury 83,61 16,40  83,37 8,54  79,62 483,78 81,00
KDDCup99_dos 99,94 698,13  99,94 262,03  99,93 4282,89 78,00
KDDCup99_normal 99,92 647,52  99,92 265,93  99,91 4257,21 76,00
KDDCup99_probe 99,98 667,24  99,98 259,33  99,97 4208,90 77,00
KDDCup99_r2l 99,98 657,17  99,98 263,56  99,97 4220,76 75,00
poker0 63,74 36,28  63,77 39,90  63,53 6853,13 107,00
poker1 59,46 33,08  59,44 42,03  59,18 6692,17 110,00
poker2 95,24 31,01  95,24 42,78  95,24 6706,81 109,00
poker3 97,89 34,06  97,89 42,59  97,89 6707,06 106,00
skin 91,15 1,69  90,63 1,91  90,63 2,12 53,00
susy 63,92 1285,11  67,16 247,17  62,48 15409,65 103,00
 86,05 277,10  86,14 90,63  84,58 3718,00 84,95
