=====================                                                                                                        parameter  experiment:  -nlabel  7              -LM           1           -IM          4          -Nit        -wCP                           -O         ./QckChi_result_7labels.csv
Database                                                                                                                     Lab        #Cont        Global   #Ex            #Rules        #Train      #ErrorTrain  #Test      #TestWNC    #Error                         %NC        TrainTime                    Nose      TestTime
abalone                                                                                                                      7          7            Global   4174,000000    39,600000     35,271256   64,728744    3,066603   22,535211   77,464789                      86,391950  0,266552                     0,000000  0,021466  0,000000  0,000000  0,000000
adult                                                                                                                        7          6            Global   45222,000000   23544,000000  92,273672   7,726328     60,291451  81,891632   18,108368                      26,376542  143,108063                   0,000000  0,089618  0,000000  0,000000  0,000000
australian                                                                                                                   7          7            Global   690,000000     571,600000    98,808374   1,191626     45,507246  84,864865   15,135135                      46,376812  0,067386                     0,000000  0,001455  0,000000  0,000000  0,000000
banana                                                                                                                       7          2            Global   5300,000000    32,700000     80,603774   19,396226    87,358491  87,374976   12,625024                      0,018868   0,045084                     0,000000  0,001621  0,000000  0,000000  0,000000
bands                                                                                                                        7          19           Global   365,000000     328,500000    100,000000  0,000000     4,109589   88,235294   11,764706                      95,342466  0,023434                     0,000000  0,015841  0,000000  0,000000  0,000000
bupa                                                                                                                         7          6            Global   345,000000     186,200000    86,698873   13,301127    58,550725  65,161290   34,838710                      10,144928  0,020969                     0,000000  0,000552  0,000000  0,000000  0,000000
census                                                                                                                       7          9            Global   142521,000000  84651,500000  99,483663   0,516337     46,393865  96,728938   3,271062                       52,037244  1604,778178                  0,000000  0,843044  0,000000  0,000000  0,000000
cleveland                                                                                                                    7          13           Global   297,000000     265,700000    100,000000  0,000000     9,090909   71,052632   28,947368                      87,205387  0,030556                     0,000000  0,000901  0,000000  0,000000  0,000000
coil2000                                                                                                                     7          2            Global   9822,000000    7455,900000   98,796353   1,203647     23,712075  92,274168   7,725832                       74,302586  10,609804                    0,000000  0,101744  0,000000  0,000000  0,000000
covtype_2_vs_1                                                                                                               7          10           Global   495141,000000  62615,400000  90,967309   9,032691     87,652608  87,682004   12,317996                      0,033526   4610,115884                  0,000000  3,393177  0,000000  0,000000  0,000000
crx                                                                                                                          7          6            Global   653,000000     551,600000    99,013102   0,986898     31,240429  87,179487   12,820513                      64,165391  0,066846                     0,000000  0,001314  0,000000  0,000000  0,000000
fars_0_vs_4_                                                                                                                 7          5            Global   62123,000000   42144,700000  100,000000  0,000000     41,115207  100,000000  0,000000                       58,884793  391,632986                   0,000000  0,202120  0,000000  0,000000  0,000000
heart                                                                                                                        7          5            Global   270,000000     241,300000    100,000000  0,000000     7,037037   86,363636   13,636364                      91,851852  0,022718                     0,000000  0,000669  0,000000  0,000000  0,000000
iris                                                                                                                         7          4            Global   150,000000     66,100000     98,000000   2,000000     92,666667  95,205479   4,794521                       2,666667   0,002167                     0,000000  0,000057  0,000000  0,000000  0,000000
letter                                                                                                                       7          16           Global   20000,000000   12643,900000  99,029444   0,970556     82,785000  89,381343   10,618657                      7,380000   40,190100                    0,000000  0,307888  0,000000  0,000000  0,000000
magic                                                                                                                        7          10           Global   19020,000000   4517,400000   86,471550   13,528450    81,382755  81,964522   18,035478                      0,709779   15,002445                    0,000000  0,068190  0,000000  0,000000  0,000000
newthyroid                                                                                                                   7          5            Global   215,000000     67,400000     97,881137   2,118863     92,093023  95,652174   4,347826                       3,720930   0,003458                     0,000000  0,000101  0,000000  0,000000  0,000000
mammographic                                                                                                                 7          1            Global   830,000000     183,900000    87,724230   12,275770    74,819277  82,579787   17,420213                      9,397590   0,023199                     0,000000  0,000292  0,000000  0,000000  0,000000
page-blocks                                                                                                                  7          10           Global   5472,000000    289,400000    95,382554   4,617446     94,133772  94,513761   5,486239                       0,402047   0,332775                     0,000000  0,006988  0,000000  0,000000  0,000000
penbased                                                                                                                     7          16           Global   10992,000000   9394,600000   100,000000  0,000000     77,520015  99,660819   0,339181                       22,216157  11,401409                    0,000000  0,179720  0,000000  0,000000  0,000000
phoneme                                                                                                                      7          5            Global   5404,000000    471,100000    84,055021   15,944979    82,068838  82,144842   17,855158                      0,092524   0,355269                     0,000000  0,002466  0,000000  0,000000  0,000000
pima                                                                                                                         7          8            Global   768,000000     599,500000    96,961806   3,038194     62,369792  71,173848   28,826152                      12,369792  0,099735                     0,000000  0,001983  0,000000  0,000000  0,000000
ring                                                                                                                         7          20           Global   7400,000000    6612,400000   100,000000  0,000000     39,959459  97,622978   2,377022                       59,067568  10,547319                    0,000000  0,280503  0,000000  0,000000  0,000000
saheart                                                                                                                      7          8            Global   462,000000     399,100000    99,398749   0,601251     46,969697  68,238994   31,761006                      31,168831  0,040247                     0,000000  0,002300  0,000000  0,000000  0,000000
satimage                                                                                                                     7          36           Global   6435,000000    2992,700000   87,882241   12,117759    72,696193  76,789232   23,210768                      5,330225   15,094193                    0,000000  0,285986  0,000000  0,000000  0,000000
segment                                                                                                                      7          19           Global   2310,000000    1217,100000   98,095238   1,904762     88,528139  95,382463   4,617537                       7,186147   0,442371                     0,000000  0,022170  0,000000  0,000000  0,000000
shuttle                                                                                                                      7          9            Global   57999,000000   84,600000     97,660688   2,339312     91,586062  91,598696   8,401304                       0,013793   1,567628                     0,000000  0,090111  0,000000  0,000000  0,000000
spambase                                                                                                                     7          57           Global   4597,000000    2155,600000   93,979165   6,020835     76,702197  88,348785   11,651215                      13,182510  4,471193                     0,000000  0,076986  0,000000  0,000000  0,000000
texture                                                                                                                      7          40           Global   5500,000000    4366,300000   99,781818   0,218182     75,600000  97,559831   2,440169                       22,509091  8,216433                     0,000000  0,256674  0,000000  0,000000  0,000000
thyroid                                                                                                                      7          6            Global   7200,000000    1161,500000   94,867284   5,132716     91,597222  93,745558   6,254442                       2,291667   1,376095                     0,000000  0,012894  0,000000  0,000000  0,000000
twonorm                                                                                                                      7          20           Global   7400,000000    6660,000000   100,000000  0,000000     0,256757   90,476190   9,523810                       99,716216  7,579011                     0,000000  0,316717  0,000000  0,000000  0,000000
vehicle                                                                                                                      7          18           Global   846,000000     753,400000    99,894930   0,105070     29,314421  71,469741   28,530259                      58,983452  0,129281                     0,000000  0,028125  0,000000  0,000000  0,000000
