abalone 5 7 Global 4174 99,6 25,1344 74,8622 8,62482 8,73362 91,2664 1,24581 0,0771425 0,0078916 0,0054469 0 0 0
banana 5 2 Global 5300 19,6 78,2977 21,7023 79,434 79,449 20,551 0,0188679 0,038389 0,0050271 0,0017116 0 0 0
bupa 5 6 Global 345 107,4 75,9903 24,0097 51,3043 53,3133 46,6867 3,76812 0,0034799 0,0009232 0,0007113 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0110204 0,0033447 0,0026794 0 0 0
heart 5 5 Global 270 235,8 100 0 22,5926 89,7059 10,2941 74,8148 0,0032751 0,0012321 0,0010637 0 0 0
iris 5 4 Global 150 40,9 96,4444 3,55556 62,6667 62,6667 37,3333 0 0,0012064 0,0002232 0,0001238 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0049408 0,0008408 0,0005311 0 0 0
mammographic 5 1 Global 830 158,2 87,6305 12,3695 45,6627 49,5425 50,4575 7,83133 0,0092665 0,0026786 0,002135 0 0 0
newthyroid 5 5 Global 215 47 96,8992 3,10078 93,4884 94,3662 5,6338 0,930233 0,0018643 0,0003299 0,0001771 0 0 0
page-blocks 5 10 Global 5472 157,1 94,1703 5,82968 55,8845 55,9971 44,0029 0,201023 0,063359 0,0195413 0,016289 0 0 0
phoneme 5 5 Global 5404 203,9 82,1644 17,8356 52,3316 52,3316 47,6684 0 0,0501809 0,0223513 0,018994 0 0 0
pima 5 8 Global 768 400,2 91,0012 8,99884 51,4323 53,0914 46,9086 3,125 0,0096039 0,0058294 0,0052995 0 0 0
saheart 5 8 Global 462 348,9 96,7412 3,25878 56,2771 60,0462 39,9538 6,27706 0,0075668 0,004039 0,0037003 0 0 0
shuttle 5 9 Global 57999 70,2 92,0182 7,98184 50,1353 50,1414 49,8586 0,0120692 0,605097 0,136925 0,102555 0 0 0
adult 5 6 Global 45222 19388,6 89,8828 10,1172 63,3386 80,5393 19,4607 21,3569 0,549809 0,0949918 0,0655732 0 0 0
australian 5 7 Global 690 493,1 96,9887 3,01127 54,7826 82,1739 17,8261 33,3333 0,0094793 0,0015314 0,0010434 0 0 0
crx 5 6 Global 653 518,9 98,5877 1,41229 39,0505 85,5705 14,4295 54,3645 0,0086235 0,0012927 0,0008607 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,0045592 0,0004762 0,0001307 0 0 0
census 5 9 Global 142521 80798,1 99,2909 0,709096 48,0848 96,3258 3,67419 50,081 4,85432 0,719866 0,646698 0 0 0
coil2000 5 2 Global 9822 7468,1 98,4694 0,831672 24,5978 91,7585 8,24155 73,1928 0,857077 0,0945353 0,0874729 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,79353 0,256402 0,210832 0 0 0
covtype_2_vs_1 5 10 Global 495141 21023,4 85,7676 14,2324 85,8965 85,9004 14,0996 0,00444318 23,4442 2,65209 2,54491 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,67411 0,229227 0,187044 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0173797 0,0020892 0,0014612 0 0 0
magic 5 10 Global 19020 1765,5 83,6324 16,3676 81,714 81,7742 18,2258 0,0736067 0,296677 0,0366615 0,0255283 0 0 0
thyroid 5 6 Global 7200 909,3 94,4136 5,58642 92,0694 93,3136 6,68637 1,33333 0,126804 0,0134122 0,0091967 0 0 0
vehicle 5 18 Global 846 707,5 98,6407 1,35934 52,0095 63,3094 36,6906 17,8487 0,0992809 0,017821 0,0172619 0 0 0
vowel 5 11 Global 990 644,4 99,1807 0,819304 92,2222 92,6904 7,30964 0,505051 0,0214076 0,0031135 0,0024505 0 0 0
segment 5 19 Global 2310 872,1 96,1568 3,84319 90,8658 93,7054 6,29464 3,0303 0,124101 0,0175103 0,0160246 0 0 0
winequality-red 5 11 Global 1599 685,8 82,1034 17,8966 56,1601 56,9797 43,0203 1,4384 0,0502071 0,0070497 0,0058824 0 0 0
winequality-white 5 11 Global 4898 814,5 63,0881 36,9119 50,1633 50,266 49,734 0,204165 0,137617 0,0159274 0,0128619 0 0 0
spambase 5 57 Global 4597 1361,7 88,4127 11,5873 81,1181 85,3318 14,6682 4,938 0,35809 0,0502656 0,0469035 0 0 0
penbased 5 16 Global 10992 7733,2 99,8898 0,110181 93,9865 98,9275 1,07249 4,99454 0,305058 0,0736775 0,0663385 0 0 0
ring 5 20 Global 7400 5044,6 99,3979 0,602102 54,4054 78,9567 21,0433 31,0946 0,835622 0,177205 0,172225 0 0 0
twonorm 5 20 Global 7400 6654,4 99,988 0,012012 34,3649 91,2451 8,75493 62,3378 1,12819 0,264634 0,259558 0 0 0
satimage 5 36 Global 6435 1980,3 78,7758 21,2242 64,6775 65,0617 34,9383 0,590521 1,85205 0,19823 0,193857 0 0 0
texture 5 40 Global 5500 3662,5 97,903 2,09697 87,6909 93,5778 6,4222 6,29091 1,82302 0,206155 0,202101 0 0 0
letter 5 16 Global 20000 7025,1 87,5142 12,4839 77,485 77,6792 22,3208 0,25 1,13178 0,159317 0,14587 0 0 0
