 WM K th d
Database #Test #Test #Test #Test
banana 80,36 80,36 80,89 80,36
bupa 59,71 61,94 61,46 63,99
iris 95,33 95,33 95,33 96,00
letter 74,60 84,78 86,19 83,98
magic 80,80 81,69 82,41 82,34
newthyroid 91,17 92,55 91,19 92,10
page-blocks 93,90 94,08 94,72 94,26
phoneme 78,66 78,72 80,12 79,09
pima 70,59 72,80 70,97 72,67
satimage 51,23 66,70 72,73 66,04
segment 88,48 91,99 92,12 92,03
shuttle 84,24 85,47 84,38 89,87
thyroid 92,10 92,46 92,49 92,61
vowel 93,03 96,26 96,36 96,06
winequality-red 59,60 62,73 60,29 60,48
winequality-white 53,08 54,80 53,90 53,92
 77,93 80,79 80,97 80,99
    
 4,22 0,48 12,59 1,72
