Database WM K=64 (th=0.2) D=2
adult 64,38 67,10 66,78 67,06
australian 54,64 67,68 62,75 67,25
bands 16,62 36,71 43,14 49,30
cleveland 18,54 32,64 28,89 29,94
coil2000 24,27 24,30 24,31 24,30
crx 41,17 52,17 47,93 52,33
mammographic 76,74 78,06 77,57 78,06
penbased 94,31 97,69 98,01 98,48
ring 53,24 65,99 73,00 70,84
saheart 62,12 66,45 61,23 64,73
spambase 80,66 85,25 86,14 85,62
twonorm 34,93 76,27 85,82 86,81
vehicle 54,49 62,06 65,11 65,72
Average 52,01 62,49 63,13 64,65
    
RunTime 16,34 1,05 0,49 1,29
