 3 4 5 6 7 8 9
abalone 26.62 28.93 31.46 33.06 35.27 37.72 40.13
adult 88.24 89.38 90.15 90.96 92.27 92.53 93.41
australian 94.24 95.06 96.99 97.71 98.81 98.57 98.84
automobile 98.18 100.00 100.00 100.00 100.00 100.00 100.00
banana 57.87 62.57 77.08 81.55 80.60 82.15 84.61
bands 96.53 99.27 100.00 100.00 100.00 100.00 100.00
bupa 63.64 70.85 76.84 82.74 86.70 91.53 94.75
census 98.82 99.14 99.30 99.37 99.48 99.57 99.60
cleveland 96.60 98.73 99.40 99.70 100.00 100.00 100.00
coil2000 98.70 98.72 98.80 98.80 98.80 98.70 98.72
covtype_2_vs_1 77.46 80.40 85.29 87.77 90.97 92.10 93.78
crx 96.66 97.84 98.55 98.62 99.01 99.30 99.32
heart 99.67 100.00 100.00 99.67 100.00 100.00 100.00
iris 92.00 85.56 95.63 98.67 98.00 98.74 99.41
letter 51.95 83.58 88.42 97.64 99.03 99.67 99.66
magic 78.98 83.03 84.06 84.88 86.47 87.76 91.81
mammographic 86.17 87.38 87.56 87.90 87.72 88.49 88.76
newthyroid 90.85 95.30 95.35 94.47 97.88 97.00 97.31
page-blocks 92.88 93.16 93.85 95.02 95.38 95.71 96.00
penbased 98.43 99.60 99.88 99.97 100.00 100.00 100.00
phoneme 72.68 80.96 82.33 82.59 84.06 87.22 88.14
pima 79.18 84.82 90.96 95.47 96.96 98.67 99.18
ring 84.03 99.51 99.37 99.99 100.00 100.00 100.00
saheart 84.97 89.75 96.95 98.82 99.40 99.42 99.81
satimage 75.78 24.30 78.71 90.23 87.88 94.01 95.25
segment 85.75 96.87 95.66 97.65 98.10 99.32 99.07
shuttle 81.84 86.75 91.59 88.07 97.66 96.73 92.74
sonar 100.00 100.00 100.00 100.00 100.00 100.00 100.00
spambase 72.66 80.93 87.25 91.59 93.98 95.29 97.05
texture 71.64 91.34 97.64 99.49 99.78 99.98 100.00
thyroid 93.24 93.72 94.24 95.01 94.87 95.13 95.44
twonorm 84.70 99.96 99.99 100.00 100.00 100.00 100.00
vehicle 83.24 96.66 98.50 100.00 99.89 100.00 99.89
vowel 72.09 94.23 98.77 99.52 99.81 99.91 100.00
winequality-red 65.90 75.44 84.50 89.94 92.89 96.07 97.25
winequality-white 54.76 59.79 66.90 74.66 80.56 87.74 92.26
